instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Morningside College,Iowa,12800,16258054,1153,280,-96.358852,42.475518,
Mount Mercy College,Iowa,13190,17671532,1291,213,-91.655002,42.003149,
Ashford University,Iowa,12580,,3,669,137,-90.198167,41.849608
North Iowa Area Community College,Iowa,2796,23851101,2927,502,-93.132522,43.150314,
University of Northern Iowa,Iowa,7546,183967858,13811,2114,-92.457152,42.513029,
Northwestern College,Iowa,12270,20982304,1219,230,-96.058342,42.998713,
Northeast Iowa Community College-Calmar,Iowa,3046,22849696,3174,355,-91.864331,43.173643,
Northwest Iowa Community College,Iowa,3800,11723966,904,110,-95.871879,43.185649,
Des Moines University-Osteopathic Medical Center,Iowa,12600,40001199,1221,392,-93.661306,41.584463,
Iowa School of Beauty,Iowa,,286382.003,33,,-92.417883,41.023109,
Palmer College of Chiropractic,Iowa,4185,38984175,1728,363,-90.574098,41.529191,
Professional Cosmetology Institute,Iowa,,365064.003,42,,-93.611932,41.997329,
Saint Ambrose University,Iowa,13350,37786984,2888,535,-90.580191,41.538304,
St Luke's College,Iowa,8100,1537377.002,90,17,-96.405974,42.518642,
La James International College,Iowa,,343846.003,30,,-90.56912,41.573222,
La James International College,Iowa,,781959.003,64,,-91.49182,41.68129,
Simpson College,Iowa,14300,35075901,1897,306,-93.565116,41.366609,
Southeastern Community College,Iowa,2782,24431099,2541,220,-91.18017,40.8118,
Southwestern Community College,Iowa,2832,10726480,1102,174,-94.381313,41.071255,
Capri College,Iowa,,928250.003,74,,-90.539206,41.574837,
Iowa School of Beauty,Iowa,,,3,,,-96.369941,42.443537
E Q School of Hair Design,Iowa,,305338.003,33,,-95.85098,41.261123,
Upper Iowa University,Iowa,10752,21125225,4470,710,-91.80071,42.837882,
Waldorf College,Iowa,12200,12561684,599,146,-93.63967,43.263501,
Wartburg College,Iowa,14740,29834238,1546,377,-92.48053,42.72683,
Wartburg Theological Seminary,Iowa,,4217413.002,175,66,-90.690779,42.48521,
College of Hair Design,Iowa,,320912.003,18,,-92.335583,42.496603,
Western Iowa Tech Community College,Iowa,3660,24993911,4171,1651,-96.346907,42.479253,
William Penn University,Iowa,11924,14246659,759,160,-92.646945,41.307814,
Academy of Hair Design Inc,Kansas,,11678176,32,,-97.60819,38.840102,
Allen County Community College,Kansas,928,6459405.001,1950,209,-95.39976,37.938592,
American Institute of Baking,Kansas,,2374805.002,307,,-96.57422,39.198509,
Baker University College of Arts and Sciences,Kansas,11750,24913166,2659,620,-95.188757,38.776755,
Barton County Community College,Kansas,1824,16175805,4657,533,-98.819799,38.405183,
Benedictine College,Kansas,12006,13616026,1434,154,-95.115074,39.57231,
Bethany College,Kansas,11575,10924927,587,154,-97.672492,38.580074,
Bethel College,Kansas,11350,14026099,477,170,-97.344332,38.074844,
Brown Mackie College-Kansas City,Kansas,5886,2018007.003,190,38,-94.734861,38.953197,
Brown Mackie College-Salina,Kansas,5400,2056101.003,249,43,-97.612905,38.80637,
Bryan College,Kansas,,2246390.003,259,,-95.743343,39.039307,
Butler County Community College,Kansas,1836,28719601,7810,,-96.880522,37.80989,
Cutting Edge Hairstyling Academy,Kansas,,406478.003,57,,-94.679244,39.116579,
Central Baptist Theological Seminary,Kansas,,4054817.002,138,,-94.839442,39.010056,
Central Christian College of Kansas,Kansas,9700,3686189.362,248,72,-97.66693,38.35723,
Cloud County Community College,Kansas,2550,10859709,3050,,-97.665615,39.554211,
Coffeyville Community College,Kansas,2368,10789639,2132,127,-95.620733,37.03304,
Colby Community College,Kansas,2240,8726002.001,2141,137,-101.054765,39.379056,
Cowley County Community College,Kansas,2573,14679020,3473,380,-97.041589,37.062014,
Crums Beauty College,Kansas,,525668.003,65,,-96.563663,39.17942,
Dodge City Community College,Kansas,1824,12243634,1998,402,-100.033071,37.778637,
Donnelly College,Kansas,3400,3037612.002,342,119,-94.649423,39.11188,
Emporia State University,Kansas,6040,49622054,5605,889,-96.180098,38.411677,
Flint Hills Technical College,Kansas,8325,3178168.001,415,89,-96.220981,38.419483,
Fort Hays State University,Kansas,4832,51237023,5533,848,-99.339831,38.872032,
Barclay College,Kansas,5650,1860586.002,169,40,-99.104867,37.620592,
Friends University,Kansas,10920,31245691,3245,441,-97.366014,37.676919,
Fort Scott Community College,Kansas,2376,8446384.001,1576,239,-94.71367,37.8196,
Garden City Community College,Kansas,2080,15950518,1994,257,-100.847407,37.970945,
Haskell Indian Nations University,Kansas,0,11773294,885,207,-95.235157,38.940049,
Hays Academy of Hair Design,Kansas,,255579.003,,,-99.311653,38.885433,
Hesston College,Kansas,11350,9265894.002,425,145,-97.431679,38.134962,
Highland Community College,Kansas,2610,8926171.001,2709,305,-95.271152,39.859666,
Hutchinson Community College,Kansas,2784,24207345,3339,365,-97.922299,38.067304,
Independence Community College,Kansas,1632,7275794.001,1289,102,-95.719773,37.196477,
Johnson County Community College,Kansas,3660,96288021,16046,2035,-94.73261,38.927326,
Concorde Career Institute,Missouri,,1491000.003,260,44,-94.590111,39.068156,
Kansas City Kansas Community College,Kansas,2940,29081328,5295,591,-94.746565,39.116801,
University of Kansas Main Campus,Kansas,8693,441860318,25406,6122,-95.247661,38.958478,
Newman University,Kansas,9000,15242654,1938,228,-97.379612,37.673109,
Old Town Barber and Beauty College,Kansas,,516246.003,46,,-97.323442,37.686033,
Kansas State University,Kansas,8693,346458230,21543,6241,-96.58092,39.18857,
Kansas Wesleyan University,Kansas,11000,8918949.002,691,112,-97.609601,38.814347,
Kaw Area Technical School,Kansas,,3229094.001,288,,-95.75229,39.043795,
La Baron Hairdressing Academy,Kansas,,181046.003,27,,-94.675868,38.981451,
Labette Community College,Kansas,2550,6651170.001,1296,105,-95.255818,37.33953,
Manhattan Area Technical College,Kansas,,3166015.001,317,,-96.616196,39.196344,
Manhattan Christian College,Kansas,6338,3966212.002,400,73,-96.578515,39.185978,
McPherson College,Kansas,10800,7671892.002,494,131,-97.645139,38.371589,
MidAmerica Nazarene University,Kansas,9580,21249704,1559,304,-94.78327,38.874539,
Neosho County Community College,Kansas,1800,7196803.001,1463,184,-95.464154,37.667464,
North Central Kansas Technical College,Kansas,,5583992.001,578,96,-98.09078,39.45783,
Northwest Kansas Technical College,Kansas,,4238392.001,602,,-101.70081,39.3468,
Ottawa University,Kansas,10040,19502231,3929,227,-95.265831,38.602826,
Pittsburg State University,Kansas,6040,54894841.06,6289,969,-94.704955,37.392353,
Pratt Community College,Kansas,1260,7195029.001,1333,157,-98.716477,37.64825,
University of Saint Mary,Kansas,11390,7431145.002,725,187,-94.906937,39.277966,
Salina Area Technical School,Kansas,,2877019.001,360,,-97.63485,38.791962,
Seward County Community College,Kansas,1696,9362271.001,1703,237,-100.922059,37.058249,
Sidneys Hair Dressing College,Kansas,,,3,,,-97.928515,38.056053
Southwestern College,Kansas,10560,13427397,974,162,-96.978318,37.249456,
Sterling College,Kansas,11030,9751309.002,424,120,-98.207456,38.220335,
Tabor College,Kansas,11550,8339528.002,538,143,-97.20051,38.35124,
Washburn University,Kansas,6960,54493188,5851,913,-95.70034,39.036938,
Wichita Area Technical College,Kansas,6300,13958914,3372,679,-97.226307,37.756041,
Wichita State University,Kansas,8428,145039862,14062,2335,-97.296776,37.716527,
Wichita Technical Institute,Kansas,,269551.003,50,,-97.370949,37.656791,
Alice Lloyd College,Kentucky,4000,9839366.002,509,110,-82.87419,37.3358,
Asbury College,Kentucky,12810,25059960,1317,359,-84.66228,37.862309,
Asbury Theological Seminary,Kentucky,,10619435,1259,197,-84.662078,37.861404,
Barrett and Company School of Hair Design,Kentucky,,300813.003,49,,-84.58606,37.86484,
Bellarmine University,Kentucky,12480,27372695,2880,398,-85.709009,38.218883,
Berea College,Kentucky,0,280373602,1550,536,-84.289618,37.571848,
PJ's College of Cosmetology,Kentucky,,1162208.003,249,,-86.467746,36.979878,
Brescia University,Kentucky,8990,8842848.002,695,118,-87.112974,37.768788,
Campbellsville University,Kentucky,8000,13993432,1607,282,-85.346111,37.345192,
Centre College,Kentucky,16050,29637064,1022,336,-84.778924,37.645051,
Clear Creek Baptist Bible College,Kentucky,3420,3630415.002,178,31,-83.723832,36.721422,
J M Academy of Cosmetology Inc,Kentucky,,182572.003,26,,-84.551363,37.980117,
Collins School of Cosmetology,Kentucky,,127001.003,20,,-83.715757,36.605691,
Galen Health Institutes,Kentucky,,2640634.003,191,,-85.698094,38.276202,
University of the Cumberlands,Kentucky,9298,29752331,1662,242,-84.15966,36.74342,
Eastern Kentucky University,Kentucky,5690,158098155,14976,2645,-84.301466,37.743361,
Ezell's Cosmetology School,Kentucky,,105976.003,20,,-88.303043,36.609836,
Frontier School of Midwifery and Family Nursing,Kentucky,,2463774.002,232,42,-83.376316,37.163656,
Georgetown College,Kentucky,11350,37809420,1672,331,-84.554598,38.207897,
PJ's College of Cosmetology,Kentucky,,150064.003,21,,-85.912707,36.995056,
Donta School of Beauty Culture,Kentucky,,202597.003,46,,-85.577549,38.247683,
Paducah Technical College,Kentucky,5300,1050067.003,205,17,-88.632193,37.067872,
Jefferson Community College,Kentucky,3300,311461177,52286,2580,-85.752995,38.245743,
Jenny Lea Academy of Cosmetology,Kentucky,,31955.003,13,,-83.323612,36.847234,
Kaufman Beauty School,Kentucky,,296138.003,37,,-84.490615,38.032243,
National College of Business and Technology-Lexington,Kentucky,6288,5538973.003,994,232,-84.421665,38.027396,
Kentucky Mountain Bible College,Kentucky,3300,1029155.002,80,,-83.42465,37.60431,
Kentucky State University,Kentucky,6060,41419195,2393,540,-84.856613,38.199781,
Kentucky Wesleyan College,Kentucky,9770,8870855.002,747,182,-87.115506,37.745014,
University of Kentucky,Kentucky,8880,1064621842,23060,10111,-84.503702,38.038231,
Kentucky Christian University,Kentucky,6880,7059553.002,563,128,-82.944335,38.339483,
Lexington Theological Seminary,Kentucky,,3765012.002,138,36,-84.485532,38.054478,
Lindsey Wilson College,Kentucky,9144,21351751,1415,266,-85.301333,37.102972,
Louisville Bible College,Kentucky,944,,2,146,,-85.614796,38.121688
Louisville Technical Institute,Kentucky,9660,6315148.003,631,100,-85.687978,38.198073,
University of Louisville,Kentucky,8880,523203008,19892,6397,-85.761984,38.215618,
Louisville Presbyterian Theological Seminary,Kentucky,,15307764,242,88,-85.683088,38.238439,
Mid-Continent University,Kentucky,2640,2674989.002,245,68,-88.652761,36.816352,
Midway College,Kentucky,9062,9907962.002,816,225,-84.679262,38.144427,
Morehead State University,Kentucky,6060,81817479,8160,1424,-83.43336,38.18779,
Mr Jim's College of Cosmetology,Kentucky,,114079.003,26,,-87.147974,37.757296,
Murray State University,Kentucky,6060,97519735,8903,1431,-88.30204,36.61023,
Northern Kentucky University,Kentucky,6140,85697000,11748,1674,-84.46523,39.04058,
Nutek Academy of Beauty Inc,Kentucky,,82961.003,22,,-83.949204,38.075563,
Daymar College,Kentucky,4680,2247973.243,210,42,-87.144362,37.736552,
Pat Wilsons Beauty College,Kentucky,5550,201094.003,30,,-87.590571,37.84235,
Pikeville College,Kentucky,7500,16256098,953,190,-82.51996,37.481817,
Brown Mackie College-Louisville,Kentucky,5760,2652568.003,366,35,-85.696847,38.157047,
The Hair Design School,Kentucky,3375,502808.003,100,,-85.657674,38.255731,
Saint Catharine College,Kentucky,6000,5984193.002,477,79,-85.260201,37.710349,
The Hair Design School,Kentucky,,277134.003,53,,-85.880314,37.700268,
The Hair Design School,Kentucky,,123306.003,30,,-85.829463,38.166688,
The Hair Design School,Kentucky,,153760.003,46,,-84.627809,39.010757,
Brown Mackie College-Northern Kentucky,Kentucky,5616,1494369.003,260,23,-84.571308,39.043072,
The Southern Baptist Theological Seminary,Kentucky,3300,22889281,2045,206,-85.685689,38.246453,
Spalding University,Kentucky,10900,19204250,1704,280,-85.757174,38.242963,
Spencerian College,Kentucky,,3623201.003,417,72,-85.821198,38.17609,
Sullivan University,Kentucky,9600,27972130,3192,414,-85.672187,38.212657,
Thomas More College,Kentucky,12300,15435796,1481,280,-84.565467,39.023779,
Transylvania University,Kentucky,14050,19241280,1070,286,-84.502033,38.04742,
Trend Setters Academy-Louisville,Kentucky,,546009.003,70,,-85.838738,38.145087,
Union College,Kentucky,10590,11553920,835,198,-83.887861,36.869036,
Western Kentucky University,Kentucky,6060,158690100,15114,2693,-86.45563,36.98672,
American School of Business,Louisiana,,852239.003,152,,-93.723901,32.41414,
Ayers Institute Inc,Louisiana,,12314260,127,,-93.797522,32.419622,
Bastrop Beauty School Inc,Louisiana,,299792.003,46,,-91.915711,32.778101,
Baton Rouge General Medical Center School of Nursing,Louisiana,3300,242485.002,64,,-91.153594,30.448257,
Baton Rouge General Medical Center-Radiologic Technology,Louisiana,,,2,20,,-91.153594,30.448257
Baton Rouge School of Computers,Louisiana,6645,1057298.003,129,20,-91.080936,30.422461,
Louisiana Technical College-Baton Rouge Campus,Louisiana,840,93377591.83,15543,1506,-91.156062,30.476005,
Bossier Parish Community College,Louisiana,1625,17061871,4020,330,-93.652727,32.539645,
Cameron College,Louisiana,,878895.003,181,26,-90.088188,29.965951,
Centenary College of Louisiana,Louisiana,13200,28066933,1020,279,-93.733767,32.483803,
Cloyds Beauty School 1 Inc,Louisiana,,118012.003,26,,-92.126912,32.499868,
Crescent City Bartending School,Louisiana,,1139858.003,69,,-90.086622,29.966659,
D-Jays School of Beauty Arts and Sciences,Louisiana,,1344996.003,55,,-91.07183,30.46268,
Delgado Community College,Louisiana,4216,47641830,13131,859,-90.104513,29.983975,
Delta School of Business and Technology,Louisiana,7695,3224664.003,298,43,-93.214103,30.228859,
Demmons School of Beauty,Louisiana,,58354.003,45,,-93.189476,30.195322,
Denham Springs Beauty School,Louisiana,,142948.003,58,,-90.960723,30.476123,
Dillard University,Louisiana,8900,46222265,,421,-90.066365,29.993526,
Nunez Community College,Louisiana,976,7318831.001,1888,175,-89.958555,29.953411,
Grambling State University,Louisiana,7651,59386506.59,4671,843,-92.7139,32.527982,
Guy's Shreveport Academy of Cosmetology Inc,Louisiana,,473226.003,58,,-93.707691,32.485487,
ITI Technical College,Louisiana,,3298589.003,269,63,-91.028125,30.368331,
John Jay Charm and Beauty College,Louisiana,,800056.003,66,,-90.231286,30.00681,
John Jay Beauty College,Louisiana,,166882.003,23,,-90.230619,30.006885,
Louisina State University Health Sciences Center at New Orleans,Louisiana,6534,1504012828,2799,5126,-90.082932,29.957751,
Louisiana State University at Alexandria,Louisiana,3037,10484330,2400,140,-92.420111,31.186769,
Louisiana State University and Agricultural & Mechanical College,Louisiana,2301,568580821,31639,6787,-91.17998,30.413927,
Louisiana State University-Eunice,Louisiana,3804,11051563,2901,211,-92.439764,30.468573,
Louisiana State University-Shreveport,Louisiana,5730,29445885,4239,445,-93.70372,32.42873,
Louisiana Academy of Beauty,Louisiana,,84774.003,46,,-92.40916,30.494902,
Louisiana College,Louisiana,6480,14535088,979,181,-92.427077,31.326723,
Opelousas School of Cosmetology Inc,Louisiana,,241170.003,45,,-92.078439,30.531454,
Louisiana State University-System Office,Louisiana,,3678632.001,,,-91.168727,30.414336,
Louisiana Tech University,Louisiana,6759,102035946,10014,1246,-92.6492,32.52704,
Loyola University New Orleans,Louisiana,14140,91153956,5008,954,-90.121562,29.933733,
McNeese State University,Louisiana,1650,49221351,7879,715,-93.21847,30.180988,
University of New Orleans,Louisiana,9128,134543101,15868,2360,-90.070039,30.032406,
New Orleans Baptist Theological Seminary,Louisiana,2200,15493170,2255,496,-90.044125,30.002547,
Nicholls State University,Louisiana,1645,48441586,7348,766,-90.80143,29.79447,
University of Louisiana at Monroe,Louisiana,7596,83738641.97,9947,1396,-92.075574,32.528269,
Notre Dame Seminary Graduate School of Theology,Louisiana,,3883037.112,175,54,-90.116449,29.959498,
Northwestern State University of Louisiana,Louisiana,2030,54669656,9005,800,-93.10018,31.75459,
Our Lady of Holy Cross College,Louisiana,4560,9252985.002,1243,77,-89.993364,29.910143,
Our Lady of the Lake College,Louisiana,4200,6309096.002,914,114,-91.111356,30.396063,
Pat Goins Benton Road Beauty School,Louisiana,,211741.003,18,,-93.716372,32.516172,
Pat Goins Beauty School,Louisiana,,138568.003,16,,-92.0859,32.522743,
Pat Goins Ruston Beauty School,Louisiana,,119638.003,,,-92.63927,32.53056,
Pineville Beauty School,Louisiana,,166882.003,57,,-92.43115,31.325645,
Aveda Institute-Covington,Louisiana,,1948525.003,153,,-90.104248,30.493516,
Ronnie & Dormans School of Hair Design,Louisiana,,144699.003,35,,-92.02702,30.211448,
Saint Joseph Seminary College,Louisiana,6450,1363532.002,183,25,-90.11336,30.52682,
Vanguard College of Cosmetology,Louisiana,,210305.003,56,,-89.777073,30.228809,
South Louisiana Beauty College,Louisiana,,949539.003,54,,-90.696515,29.592921,
Remington College-Lafayette Campus,Louisiana,6771,4069962.003,476,36,-92.024443,30.168695,
Southern University-Board and System,Louisiana,,3289156.001,,,-91.19531,30.52352,
Stevensons Academy of Hair Design,Louisiana,,1641840.003,172,,-90.052367,29.948504,
Southeastern Louisiana University,Louisiana,7538,86452391,15175,1529,-90.468857,30.512021,
Southern University and A & M College,Louisiana,8078,105345480,9345,1658,-91.19531,30.52352,
Southern University at New Orleans,Louisiana,3484,27481924,3789,599,-90.04398,30.023259,
Southern University at Shreveport,Louisiana,2330,8638305.001,1324,181,-93.834611,32.544245,
University of Louisiana at Lafayette,Louisiana,7245,132617610,16351,1715,-92.00853,30.20959,
Tulane University of Louisiana,Louisiana,22590,564558000,11426,4384,-90.124332,29.935691,
Xavier University of Louisiana,Louisiana,8900,72990968,3820,719,-90.1097,29.96584,
Andover College,Maine,5400,3587302.003,582,62,-70.32441,43.638654,
College of the Atlantic,Maine,19248,12093735,293,83,-68.226586,44.396642,
Bates College,Maine,31400,99551728,1706,670,-70.205267,44.107237,
Beal College,Maine,3960,1473338.003,368,35,-68.784959,44.785898,
Bowdoin College,Maine,24435,174896324,1608,736,-69.96341,43.90568,
Central Maine Medical Center School of Nursing,Maine,2163,769229.002,85,14,-70.217679,44.10055,
Central Maine Medical Center School of Radiologic Technology,Maine,600,12825.002,14,,-70.217679,44.10055,
Colby College,Maine,31580,162908000,1764,640,-69.652169,44.567215,
Eastern Maine Community College,Maine,5364,9532089.001,1277,116,-68.74054,44.826488,
Husson College,Maine,9210,18609369,2226,266,-68.790823,44.824588,
Kennebec Valley Community College,Maine,4470,6995982.001,1080,93,-69.606711,44.592535,
Landing School of Boat Building and Design,Maine,,1221096.002,56,,-70.503742,43.379988,
University of Maine,Maine,11250,441345527,33073,6299,-68.668948,44.899907,
Maine Maritime Academy,Maine,8270,17028919,696,180,-68.80332,44.388217,
Mercy Hospital School of Radiologic Technology,Maine,2100,108073656,15,,-70.261358,43.654789,
University of New England,Maine,14990,48549453,2945,524,-70.390028,43.458658,
Northern Maine Community College,Maine,4470,8499709.001,770,141,-68.030674,46.69277,
Pierre's School of Cosmetology,Maine,,2922022.003,68,,-70.258563,43.667147,
Maine College of Art,Maine,16580,7218430.002,408,102,-70.260971,43.655979,
Saint Josephs College,Maine,13240,18857406.75,3578,314,-70.481085,43.822881,
Spa Tech Institute,Maine,,389185.003,49,,-70.322405,43.674757,
Southern Maine Community College,Maine,5040,16351362,2362,252,-70.228079,43.650726,
Thomas College,Maine,12000,7348666.002,944,96,-69.666096,44.526477,
Unity College,Maine,11740,8439385.002,512,163,-69.33119,44.60455,
Washington County Community College,Maine,5364,4724925.001,387,85,-67.23826,45.13915,
Aaron's Academy of Beauty,Maryland,,304320.003,38,,-76.905025,38.611486,
Aesthetics Institute of Cosmetology,Maryland,,217963.003,41,,-77.207336,39.151681,
Allegany College of Maryland,Maryland,7470,18704624,2548,626,-78.739195,39.653019,
Anne Arundel Community College,Maryland,6120,62162957,12169,1214,-76.519935,39.052816,
Award Beauty School,Maryland,,193987.003,22,,-77.720549,39.640446,
Baltimore Studio of Hair Design,Maryland,,460260.003,78,,-76.619777,39.293109,
Baltimore City Community College,Maryland,4550,42490732,5905,890,-76.65957,39.320516,
University of Baltimore,Maryland,10884,51198011,4611,787,-76.61621,39.30543,
Baltimore International College,Maryland,11008,11266078,470,,-76.610179,39.288878,
Bowie State University,Maryland,8145,46947412,4770,736,-76.764463,39.01741,
Capitol College,Maryland,11808,8992634.002,830,138,-76.840398,39.03217,
Cecil Community College,Maryland,5700,12040087,1349,346,-75.95609,39.64084,
College of Southern Maryland,Maryland,7560,29789089.25,5814,623,-77.006021,38.561211,
Chesapeake College,Maryland,6450,12499087,2230,673,-76.084,38.95244,
Columbia Union College,Maryland,12200,20052946,964,140,-76.998791,38.985008,
Coppin State University,Maryland,8093,34019407,3844,511,-76.658175,39.309403,
Delmarva Beauty Academy,Maryland,,290391.003,52,,-75.599798,38.338191,
North American Trade Schools,Maryland,,1225311.003,,,-76.749291,39.312827,
Frederick Community College,Maryland,5040,24162934,4266,602,-77.413436,39.451279,
Frostburg State University,Maryland,7916,59770527,5198,883,-78.931749,39.648508,
Garrett College,Maryland,6600,7686427.001,682,145,-79.344732,39.559687,
Goucher College,Maryland,20200,50073179,1700,401,-76.60062,39.409319,
Hagerstown Business College,Maryland,5220,3733477.593,673,54,-77.724547,39.672437,
Hagerstown Community College,Maryland,5070,17220241,2484,373,-77.667857,39.626685,
Harford Community College,Maryland,4320,27444147,4693,676,-76.286584,39.560657,
Hood College,Maryland,17275,32684809.25,1774,313,-77.419757,39.420051,
Howard Community College,Maryland,6600,33330273,5252,692,-76.881385,39.216219,
Johns Hopkins University,Maryland,23660,2177824000,17801,11680,-76.618081,39.330741,
L'Academie de Cuisine,Maryland,,1990134.003,84,,-77.189551,39.118908,
Lincoln Technical Institute,Maryland,,8056287.003,491,,-76.829323,39.178365,
Loyola College in Maryland,Maryland,19660,99958687,6263,1035,-76.62232,39.346467,
Maryland Beauty Academy,Maryland,,177523.003,27,,-76.820184,39.457514,
University of Maryland-University College,Maryland,5664,85183928,15673,1443,-76.956656,38.985774,
University of Maryland-Baltimore,Maryland,11241,547375869,5553,4245,-76.62245,39.287509,
University of Maryland-Baltimore County,Maryland,8518,198837779,10265,2553,-76.70802,39.25872,
University of Maryland-College Park,Maryland,10938,845553190,32864,11321,-76.940034,38.98603,
Maryland Institute College of Art,Maryland,18460,31028692,1701,408,-76.621327,39.307744,
University of Maryland-Eastern Shore,Maryland,7290,53633141,3000,723,-75.68685,38.20733,
Medix Schools,Maryland,,5157366.003,784,,-76.604321,39.403919,
Montgomery Beauty School,Maryland,,762875.003,99,,-77.001567,38.999853,
Montgomery College,Maryland,6978,122082927,12607,806,-77.158322,39.095585,
Morgan State University,Maryland,8490,110389850,6172,1280,-76.585909,39.345934,
Mount St Mary's University,Maryland,16520,33239640,1730,434,-77.350044,39.680872,
Ner Israel Rabbinical College,Maryland,5000,8150928.002,565,78,-76.751907,39.387552,
Hair Academy Inc-New Carrollton,Maryland,,1341363.003,172,,-76.870435,38.956976,
College of Notre Dame of Maryland,Maryland,14680,27546484,3139,423,-76.623078,39.350941,
Prince George's Community College,Maryland,5232,54126206,12298,1835,-76.823778,38.890066,
TESST College of Technology-Baltimore,Maryland,,7662173.003,1418,,-76.665358,39.261282,
Robert Paul Academy of Cosmetology Arts & Sciences,Maryland,,291039.003,43,,-76.621869,39.431184,
Maryland Beauty Academy of Essex,Maryland,,184871.003,40,,-76.474941,39.308635,
St. Mary's Seminary & University,Maryland,9780,3695731.692,270,54,-76.635225,39.359988,
Salisbury University,Maryland,7066,72780016,6060,1158,-75.608514,38.346562,
St Mary's College of Maryland,Maryland,10800,32020563,1613,476,-76.42695,38.18346,
Sojourner-Douglass College,Maryland,4280,9011200.002,757,,-76.597493,39.296505,
St John's College,Maryland,23290,33682969,516,178,-76.4906,38.980927,
Towson University,Maryland,9336,186764501,16647,2615,-76.604422,39.393448,
Tai Sophia Institute,Maryland,,5618550.002,190,122,-76.889248,39.166026,
University System of Maryland,Maryland,,12066915,,,-76.95386,39.00272,
United States Naval Academy,Maryland,0,248048168,4123,1485,-76.48286,38.98376,
Villa Julie College,Maryland,10250,23815309,2158,377,-76.704192,39.423978,
Washington Bible College-Capital Bible Seminary,Maryland,6240,4246697.002,561,98,-76.866193,38.975343,
Washington College,Maryland,19750,44833069,1194,373,-76.066388,39.214798,
Washington Theological Union,District of Columbia,,2737733.002,238,,-77.012959,38.973689,
McDaniel College,Maryland,18650,51840298,3335,464,-77.00327,39.58361,
Wor-Wic Community College,Maryland,3912,10829297,2084,223,-75.503573,38.373735,
New England College of Finance,Massachusetts,,2999096.002,955,,-71.060911,42.309882,
American International College,Massachusetts,12338,23205090,1752,415,-72.557401,42.113788,
Amherst College,Massachusetts,24800,378150847,1681,678,-72.51695,42.37237,
Andover Newton Theological School,Massachusetts,,7190321.002,458,109,-71.191675,42.327027,
Anna Maria College,Massachusetts,12200,13682353,1293,159,-71.918182,42.327527,
Assabet Valley Regional Technical School,Massachusetts,,,1,66,,-71.568049,42.368256
Assumption College,Massachusetts,17320,41185102,2694,461,-71.83153,42.291149,
Atlantic Union College,Massachusetts,11904,9322177.252,785,123,-71.68394,42.445255,
Babson College,Massachusetts,20286,159300557,3431,689,-71.2623,42.299,
Bancroft School of Massage Therapy,Massachusetts,,1615864.003,133,,-71.778471,42.269492,
Boston Baptist College,Massachusetts,2900,1091857.002,110,18,-71.110788,42.253703,
Bay Path College,Massachusetts,13010,12362985,656,178,-72.581868,42.054741,
Bay State College,Massachusetts,10750,75733.003,778,128,-71.077031,42.351964,
Bay State School of Technology,Massachusetts,,2958891.003,231,,-71.113481,42.179416,
Becker College,Massachusetts,11490,15527618,1010,278,-71.811475,42.268935,
Bentley College,Massachusetts,17730,135814350,5709,1001,-71.222307,42.390763,
Berklee College of Music,Massachusetts,15800,75932126,3012,645,-71.089376,42.34678,
Berkshire Community College,Massachusetts,6900,19297254,2428,348,-73.31492,42.458773,
Blaine the Beauty Career School-Boston,Massachusetts,,4428188.003,418,,-71.062528,42.354755,
Boston Architectural Center,Massachusetts,6245,7117698.002,975,137,-71.085884,42.34868,
Boston Graduate School of Psychoanalysis Inc,Massachusetts,,997454.002,90,32,-71.133059,42.339436,
Boston College,Massachusetts,21700,545201158,14773,4858,-71.171457,42.337654,
The Boston Conservatory,Massachusetts,17300,9841492.002,476,201,-71.090141,42.346379,
Boston University,Massachusetts,23770,1179259015,28487,12536,-71.100536,42.349375,
Brandeis University,Massachusetts,24421,260696382,4527,1497,-71.255802,42.365485,
Bridgewater State College,Massachusetts,7050,67289049,8955,1019,-70.973046,41.986675,
Bristol Community College,Massachusetts,5520,30398311,6053,598,-71.123509,41.719481,
Brockton Hospital School of Nursing,Massachusetts,10431,1854462.002,319,,-70.991809,42.086176,
Bunker Hill Community College,Massachusetts,5520,35751316,6828,329,-71.0701,42.37601,
Butera School of Art,Massachusetts,11250,603843.003,52,,-71.073286,42.355213,
Cambridge College,Massachusetts,9000,20915081,2381,105,-71.110719,42.369165,
Cape Cod Community College,Massachusetts,5520,20609768,3793,461,-70.340784,41.691331,
Catherine Hinds Institute of Esthetics,Massachusetts,,3042400.003,115,,-71.137501,42.494418,
Laboure College,Massachusetts,10080,2654794.002,314,67,-71.066544,42.277461,
Clark University,Massachusetts,22400,91620016,3003,755,-71.82253,42.250092,
Conway School of Landscape Design,Massachusetts,,455158.002,18,8,-72.688731,42.505655,
Curry College,Massachusetts,16500,35634160,2424,363,-71.10409,42.246325,
Career Education Institute-Somerville,Massachusetts,,5039044.003,83,,-71.082432,42.390905,
Dean College,Massachusetts,14500,16241298,1313,272,-71.398575,42.084375,
Diman Regional Technical Institute,Massachusetts,,387865.001,73,,-71.12633,41.700717,
Wyotech,Massachusetts,,2426369.003,210,,-71.290835,42.461678,
Eastern Nazarene College,Massachusetts,12486,23752218,1558,213,-71.01249,42.271254,
